label,subset,n,brier,reliability,resolution,uncertainty,ece_equalwidth,ece_equalmass,log_loss,auc,mean_abs_from_half
K=1,d_curve,205,0.20689805370731706,0.0691589906024003,0.11220739733529732,0.24994646044021415,0.09028731707317074,0.11145804878048779,0.6160801867837573,0.7620906321401371,0.2596531707317073
K=2,d_curve,205,0.20015442708536582,0.13121133765447154,0.18100337100931974,0.24994646044021415,0.10117536585365854,0.08976073170731708,0.5899921806503101,0.7706587966488957,0.24376073170731707
K=3,d_curve,205,0.20256391219512196,0.0504078027219393,0.09779035096703148,0.24994646044021415,0.09735609756097562,0.0994048780487805,0.6003796492225503,0.7686595582635186,0.2546243902439025
K=4,d_curve,205,0.20517622926829268,0.14280689128919857,0.18757712246111988,0.24994646044021415,0.10777073170731706,0.12284390243902439,0.6022781333998452,0.7630902513328256,0.2521609756097561
K=5,d_curve,205,0.20862488780487803,0.06186143445605886,0.10318300709139494,0.24994646044021415,0.10481951219512194,0.10481951219512192,0.6172482253936675,0.7579493526275705,0.25594146341463414
K=6,d_curve,205,0.20579135121951217,0.12987962067363534,0.17403472989433713,0.24994646044021415,0.11259999999999999,0.11859999999999996,0.6090704979186912,0.7617574257425742,0.25381951219512194
K=7,d_curve,205,0.20553757073170728,0.07599246813782423,0.12040135784633103,0.24994646044021415,0.09247804878048776,0.1002829268292683,0.6058285348731688,0.7661367098248286,0.25462439024390243
K=8,d_curve,205,0.20366308902439026,0.11927284512195124,0.16555621653777502,0.24994646044021415,0.10949024390243903,0.1056365853658536,0.6038782133310274,0.767041127189642,0.2523682926829268
K=9,d_curve,205,0.20431171707317072,0.08775538722415799,0.1333901305912013,0.24994646044021415,0.09799024390243898,0.09330731707317068,0.6033033823309726,0.7664699162223915,0.25457560975609755
K=10,d_curve,205,0.203669156097561,0.11047519558652731,0.15675249992918042,0.24994646044021415,0.10742926829268294,0.10255121951219506,0.6018312591579187,0.7678027418126429,0.25494146341463414
